date	colcap
15/01/2008	980.21
16/01/2008	958.99
17/01/2008	928.38
18/01/2008	903.49
21/01/2008	832.37
22/01/2008	879.67
23/01/2008	890.89
24/01/2008	933.79
25/01/2008	939.61
28/01/2008	930.97
29/01/2008	946.51
30/01/2008	936.55
31/01/2008	937.33
01/2/08	938.16
04/2/08	945.18
05/2/08	920.47
06/2/08	900.89
07/2/08	891.30
08/2/08	906.03
11/2/08	920.78
12/2/08	915.74
13/02/2008	918.85
14/02/2008	928.67
15/02/2008	929.63
18/02/2008	944.25
19/02/2008	945.40
20/02/2008	941.38
21/02/2008	944.38
22/02/2008	940.05
25/02/2008	938.49
26/02/2008	938.58
27/02/2008	935.15
28/02/2008	931.03
29/02/2008	914.90
03/3/08	896.73
04/3/08	859.79
05/3/08	897.61
06/3/08	889.83
07/3/08	900.79
10/3/08	907.83
11/3/08	911.72
12/3/08	914.89
13/03/2008	912.74
14/03/2008	902.13
17/03/2008	890.57
18/03/2008	899.67
19/03/2008	902.56
25/03/2008	895.08
26/03/2008	891.73
27/03/2008	887.89
28/03/2008	890.03
31/03/2008	889.28
01/4/08	913.73
02/4/08	919.30
03/4/08	923.04
04/4/08	922.00
07/4/08	928.32
08/4/08	930.57
09/4/08	936.53
10/4/08	922.05
11/4/08	917.73
14/04/2008	917.57
15/04/2008	931.61
16/04/2008	936.55
17/04/2008	934.66
18/04/2008	952.82
21/04/2008	953.25
22/04/2008	950.97
23/04/2008	942.21
24/04/2008	949.52
25/04/2008	953.07
28/04/2008	962.40
29/04/2008	969.11
30/04/2008	985.95
02/5/08	1012.31
06/5/08	1032.08
07/5/08	1010.96
08/5/08	1001.24
09/5/08	1008.49
12/5/08	1010.27
13/05/2008	1015.63
14/05/2008	1027.74
15/05/2008	1024.58
16/05/2008	1016.11
19/05/2008	1016.10
20/05/2008	1009.48
21/05/2008	1015.60
22/05/2008	1008.67
23/05/2008	1003.07
27/05/2008	999.50
28/05/2008	1000.23
29/05/2008	1010.15
30/05/2008	1019.78
03/6/08	1004.80
04/6/08	1015.92
05/6/08	1015.36
06/6/08	1013.73
09/6/08	1004.28
10/6/08	990.50
11/6/08	989.39
12/6/08	990.29
13/06/2008	991.85
16/06/2008	991.66
17/06/2008	979.84
18/06/2008	972.13
19/06/2008	941.47
20/06/2008	959.27
23/06/2008	959.13
24/06/2008	956.22
25/06/2008	956.14
26/06/2008	942.99
27/06/2008	945.31
01/7/08	924.70
02/7/08	924.47
03/7/08	938.44
04/7/08	943.76
07/7/08	936.94
08/7/08	925.66
09/7/08	932.35
10/7/08	929.81
11/7/08	917.54
14/07/2008	915.40
15/07/2008	901.61
16/07/2008	900.00
17/07/2008	909.83
18/07/2008	911.32
21/07/2008	919.19
22/07/2008	917.09
23/07/2008	922.51
24/07/2008	926.07
25/07/2008	932.59
28/07/2008	921.94
29/07/2008	923.17
30/07/2008	935.39
31/07/2008	944.87
01/8/08	943.23
04/8/08	935.98
05/8/08	937.00
06/8/08	931.61
08/8/08	937.26
11/8/08	937.96
12/8/08	934.12
13/08/2008	939.69
14/08/2008	938.25
15/08/2008	944.90
19/08/2008	941.02
20/08/2008	948.72
21/08/2008	955.50
22/08/2008	955.72
25/08/2008	950.33
26/08/2008	952.62
27/08/2008	956.43
28/08/2008	978.39
