x	log_x
1488.9	7.305792871
1496.9	7.311151582
1500.5	7.313553665
1524.3	7.329290567
1546.6	7.343814252
1571.1	7.35953129
1577.6	7.363659984
1580.5	7.365496532
1558.2	7.351286588
1553.6	7.348330098
1570.7	7.359276659
1553.9	7.348523179
1618.4	7.389193286
1667.2	7.418900852
1733.1	7.457666991
1763.9	7.475282546
1782.9	7.485996531
1814.9	7.503785649
1851.6	7.523805409
1855.8	7.526071149
1876.7	7.537270194
1878.2	7.53806915
1889.9	7.544279197
1951.9	7.576558536
1987.4	7.594582531
2004.3	7.603050152
1990.2	7.595990415
1958.6	7.579985211
1949.7	7.575430794
1952.6	7.576917097
1973.7	7.587665233
2014.1	7.607927724
2071.6	7.636076535
2104.3	7.651738149
2132.4	7.665003385
2143.9	7.670381879
2136.4	7.666877448
2152.8	7.674524599
2150.8	7.673595145
2184.1	7.688959123
2198.8	7.695667036
2195	7.693937326
2215.5	7.703233391
2189.2	7.691291459
2131	7.664346632
2143.6	7.670241938
2190.9	7.692067697
2239.7	7.714097207
2286.2	7.73464633
2345.5	7.760253878
2345.5	7.760253878
2354.1	7.763913768
2405.4	7.785471489
2393.9	7.780679114
2398.9	7.782765578
2369.3	7.770349832
2383.7	7.776409181
2427.1	7.794452408
2467.2	7.810839183
2517.5	7.831021625
2561	7.848153086
2590.3	7.859528978
2615.7	7.869287027
2625.1	7.87287427
2654.8	7.884124601
2688.2	7.896627104
2739.8	7.915640204
2760.3	7.923094648
2823.2	7.945626272
2855.7	7.957072276
2894.7	7.970636758
2900.5	7.972638415
2974	7.997663127
3014.6	8.01122243
3073.6	8.030604792
3144.5	8.053410174
3222.6	8.077943766
3234.8	8.081722381
3254.7	8.087855384
3283.7	8.096726114
3313.4	8.105730132
3310.7	8.104914926
3336.6	8.112707603
3360.8	8.11993432
3429.2	8.140082277
3488.3	8.157169791
3513.4	8.164339509
3528.1	8.168514761
3582.2	8.183732416
3590.6	8.186074598
3610.3	8.19154615
3593.3	8.186826279
3589.1	8.185656754
3597.4	8.187966641
3628.3	8.196519498
3587.6	8.185238734
3691.3	8.213733979
3712.8	8.219541588
3738.4	8.226412991
3749.2	8.229297763
3823.4	8.248895358
3910	8.271292653
3950.7	8.281648057
4018.7	8.298713746
4125	8.324821299
4168.3	8.335263558
4158	8.332789468
4192.5	8.341052494
4168.1	8.335215575
4176.5	8.337228854
4126.5	8.325184869
4098	8.318254329
4040.1	8.304024723
4075.6	8.312773254
4148.4	8.330477997
4206.7	8.344433771
4304.2	8.367346569
4341.2	8.375906087
4362	8.380685947
4398.4	8.388996117
4457.6	8.402365784
4535.9	8.419778799
4616.4	8.43737046
4616.6	8.437413782
4636	8.441607204
4804.8	8.477370697
4854.6	8.487681988
4925.8	8.502241977
4939.6	8.505039635
4949.3	8.507001431
4995.6	8.516312804
5011.4	8.519470596
5028.8	8.522936666
4922.5	8.501571811
4911.3	8.499293952
4986.3	8.514449431
5086.4	8.53432559
5048.1	8.526767214
5110.5	8.539052526
5056.8	8.528489151
4969.4	8.511054387
4996.9	8.516572999
4963.4	8.509846269
4964.8	8.510128294
5021.5	8.521483973
5142.2	8.545236282
5233.9	8.562911977
5342	8.583355394
5452.6	8.603847838
5544.3	8.620525652
5591.1	8.628931327
5627.1	8.635349491
5664.3	8.6419386
5710.9	8.650131908
5788.6	8.663645745
5839.6	8.67241758
5887.3	8.680552767
5901.9	8.683029612
5959	8.692657961
5981.7	8.696460087
6027.6	8.704104201
6095.8	8.715355288
6145.8	8.723524201
6254.1	8.740992528
6302	8.748622322
6372.8	8.759794212
6402	8.764365721
6487.4	8.777617113
6565.6	8.789599176
6599.7	8.794779472
6633.4	8.799872772
6663.4	8.804385144
6743.6	8.816349186
6760.8	8.818896505
6742.6	8.816200886
6713.3	8.811845912
6667.4	8.804985258
6692.1	8.808683005
6704.7	8.810564052
6749.4	8.817208891
6811.1	8.826308913
6873.8	8.835472362
6923.3	8.842647814
7015.1	8.855820248
7020.9	8.856646694
7056	8.861633598
7092.4	8.866779067
7182.1	8.879347098
7249.8	8.888729161
7346.3	8.901952064
7385.1	8.907219736
7476	8.919453169
7510.2	8.924017376
7528.6	8.926464381
7572.3	8.932252131
7645.2	8.941833279
7703.1	8.949378124
7820.4	8.964490983
7853.5	8.968714571
7947.9	8.980663022
8025.1	8.990329409
8145.6	9.005233183
8225.1	9.014945734
8276.9	9.021223781
8405.4	9.036629635
8448.7	9.041767862
8517.6	9.04988989
8662	9.066700922
8755.5	9.077437353
8801.8	9.082711525
8906.4	9.094525398
9071.1	9.112848815
9119.7	9.118192188
9233	9.130539302
9238.2	9.13110234
9274	9.134970065
9241.7	9.13148113
9224.3	9.129596585
9199.8	9.126937024
9283.5	9.13599391
9367.5	9.145001531
9376.7	9.145983168
9477.9	9.156718052
