date	pib	imaco
01/1992	0.02996748	
02/1992	0.03578952	
03/1992	0.03926696	
04/1992	0.03785183	
05/1992	0.03478545	
06/1992	0.03326822	0.04908656
07/1992	0.03645122	0.05486147
08/1992	0.04138580	0.05946849
09/1992	0.04512828	0.04529960
10/1992	0.04472903	0.05318773
11/1992	0.04209221	0.06000438
12/1992	0.03911376	0.05989054
01/1993	0.03765455	0.05983627
02/1993	0.03760251	0.06803417
03/1993	0.03884860	0.06324729
04/1993	0.04129578	0.06574349
05/1993	0.04395344	0.06260679
06/1993	0.04582662	0.06260210
07/1993	0.04592174	0.05857860
08/1993	0.04556790	0.06286222
09/1993	0.04607434	0.05798275
10/1993	0.04873333	0.05746958
11/1993	0.05192925	0.05604560
12/1993	0.05405010	0.05361077
01/1994	0.05348856	0.05919483
02/1994	0.05159271	0.05632489
03/1994	0.04969389	0.05435575
04/1994	0.04909423	0.05421144
05/1994	0.04926161	0.04958218
06/1994	0.04967437	0.05313950
07/1994	0.04981870	0.05142722
08/1994	0.04969663	0.05140171
09/1994	0.04931068	0.06070037
10/1994	0.04866338	0.05998184
11/1994	0.04827804	0.05561154
12/1994	0.04866851	0.05765529
01/1995	0.05034255	0.05871315
02/1995	0.05261390	0.05619919
03/1995	0.05480296	0.05283446
04/1995	0.05623498	0.05195135
05/1995	0.05679792	0.05420869
06/1995	0.05638415	0.05275305
07/1995	0.05488990	0.05062207
08/1995	0.05312510	0.05302400
09/1995	0.05188410	0.03908634
10/1995	0.05194637	0.04070230
11/1995	0.05230386	0.03815942
12/1995	0.05196554	0.03464744
01/1996	0.04995854	0.03066549
02/1996	0.04690108	0.03271844
03/1996	0.04339911	0.04016508
04/1996	0.04004399	0.03812881
05/1996	0.03710014	0.03765781
06/1996	0.03482540	0.02503838
07/1996	0.03347349	0.03075218
08/1996	0.03222501	0.01912973
09/1996	0.03027459	0.02268722
10/1996	0.02683297	0.01665505
11/1996	0.02275091	0.01255147
12/1996	0.01885628	0.01496274
01/1997	0.01595375	0.00959325
02/1997	0.01414366	0.00272713
03/1997	0.01353349	-0.00314980
04/1997	0.01423437	-0.00513711
05/1997	0.01572679	-0.00020694
06/1997	0.01749457	0.01041880
07/1997	0.01902476	0.00267325
08/1997	0.02063306	0.00144645
09/1997	0.02263444	0.01935506
10/1997	0.02534424	0.01839230
11/1997	0.02877707	0.02384967
12/1997	0.03294773	0.02780335
01/1998	0.03787041	0.02754165
02/1998	0.04243490	0.03382578
03/1998	0.04552479	0.04187912
04/1998	0.04602782	0.04294311
05/1998	0.04459728	0.04566555
06/1998	0.04188808	0.04063436
07/1998	0.03854584	0.04182772
08/1998	0.03434197	0.04725919
09/1998	0.02905232	0.02911850
10/1998	0.02245807	0.02753524
11/1998	0.01471476	0.01785857
12/1998	0.00598151	0.00789221
01/1999	-0.00357816	0.00351000
02/1999	-0.01344162	-0.00482633
03/1999	-0.02311870	-0.01450761
04/1999	-0.03214974	-0.02346535
05/1999	-0.04000801	-0.03831727
06/1999	-0.04615915	-0.04246213
07/1999	-0.05005821	-0.04819508
08/1999	-0.05196248	-0.05574177
09/1999	-0.05212054	-0.05363224
10/1999	-0.05077221	-0.05207354
11/1999	-0.04792818	-0.03924229
12/1999	-0.04359364	-0.03908192
01/2000	-0.03777237	-0.02841350
02/2000	-0.03065465	-0.02326324
03/2000	-0.02242877	-0.02039652
04/2000	-0.01328066	-0.00975713
05/2000	-0.00413207	0.00337947
06/2000	0.00404550	0.01226531
07/2000	0.01023766	0.01938697
08/2000	0.01500417	0.02771478
09/2000	0.01893186	0.02706431
10/2000	0.02262445	0.03449601
11/2000	0.02556377	0.03823331
12/2000	0.02722950	0.04299471
01/2001	0.02710582	0.04601338
02/2001	0.02579637	0.04311038
03/2001	0.02390603	0.04553999
04/2001	0.02203398	0.04594751
05/2001	0.02031464	0.04324779
06/2001	0.01887942	0.04061774
07/2001	0.01785734	0.03845908
08/2001	0.01721335	0.04160067
09/2001	0.01691394	0.04228918
10/2001	0.01692629	0.04060046
11/2001	0.01697301	0.03229560
12/2001	0.01677898	0.03227580
01/2002	0.01607054	0.02963368
