date	IPC
jul-54	0.0377
ago-54	0.03742
sep-54	0.0369
oct-54	0.03703
nov-54	0.03713
dic-54	0.03733
ene-55	0.03726
feb-55	0.03724
mar-55	0.03739
abr-55	0.03765
may-55	0.03749
jun-55	0.03746
jul-55	0.03738
ago-55	0.03741
sep-55	0.03721
oct-55	0.03731
nov-55	0.03766
dic-55	0.03808
ene-56	0.03805
feb-56	0.0382
mar-56	0.03855
abr-56	0.03879
may-56	0.03908
jun-56	0.03944
jul-56	0.03975
ago-56	0.03957
sep-56	0.03992
oct-56	0.04041
nov-56	0.04099
dic-56	0.0411
ene-57	0.04158
feb-57	0.04213
mar-57	0.04287
abr-57	0.04382
may-57	0.04439
jun-57	0.0462
jul-57	0.04746
ago-57	0.04805
sep-57	0.04827
oct-57	0.04897
nov-57	0.04912
dic-57	0.0496
ene-58	0.04968
feb-58	0.04974
mar-58	0.05052
abr-58	0.05138
may-58	0.0524
jun-58	0.05263
jul-58	0.05268
ago-58	0.05308
sep-58	0.05316
oct-58	0.05334
nov-58	0.05331
dic-58	0.05356
ene-59	0.05438
feb-59	0.05488
mar-59	0.05512
abr-59	0.05599
may-59	0.0564
jun-59	0.05677
jul-59	0.05711
ago-59	0.05721
sep-59	0.05701
oct-59	0.05714
nov-59	0.05727
dic-59	0.05774
ene-60	0.05793
feb-60	0.05775
mar-60	0.0585
abr-60	0.05906
may-60	0.05951
jun-60	0.05957
jul-60	0.05984
ago-60	0.06004
sep-60	0.06018
oct-60	0.06064
nov-60	0.06135
dic-60	0.06199
ene-61	0.06232
feb-61	0.06258
mar-61	0.06359
abr-61	0.06489
may-61	0.0656
jun-61	0.06569
jul-61	0.06585
ago-61	0.06509
sep-61	0.06467
oct-61	0.06477
nov-61	0.06511
dic-61	0.06554
ene-62	0.06583
feb-62	0.06589
mar-62	0.06648
abr-62	0.06726
may-62	0.06732
jun-62	0.06737
jul-62	0.06802
ago-62	0.06805
sep-62	0.06846
oct-62	0.06867
nov-62	0.06912
dic-62	0.06968
ene-63	0.07228
feb-63	0.07666
mar-63	0.08063
abr-63	0.08413
may-63	0.08518
jun-63	0.08707
jul-63	0.08774
ago-63	0.08797
sep-63	0.08887
oct-63	0.09033
nov-63	0.09223
dic-63	0.09309
ene-64	0.09444
feb-64	0.09497
mar-64	0.09717
abr-64	0.09942
may-64	0.10258
jun-64	0.10412
jul-64	0.10325
ago-64	0.10171
sep-64	0.10105
oct-64	0.10028
nov-64	0.1011
dic-64	0.10127
ene-65	0.10271
feb-65	0.10171
mar-65	0.10315
abr-65	0.10496
may-65	0.10627
jun-65	0.10789
jul-65	0.10797
ago-65	0.10819
sep-65	0.10919
oct-65	0.11154
nov-65	0.1131
dic-65	0.1159
ene-66	0.11739
feb-66	0.1189
mar-66	0.12181
abr-66	0.12544
may-66	0.12691
jun-66	0.12683
jul-66	0.12695
ago-66	0.12663
sep-66	0.12801
oct-66	0.12939
nov-66	0.12973
dic-66	0.13081
ene-67	0.13149
feb-67	0.13209
mar-67	0.13354
abr-67	0.13406
may-67	0.1349
jun-67	0.13728
jul-67	0.13749
ago-67	0.13727
sep-67	0.13774
oct-67	0.13881
nov-67	0.13958
dic-67	0.14019
ene-68	0.14159
feb-68	0.14157
mar-68	0.14307
abr-68	0.14542
may-68	0.14639
jun-68	0.14695
jul-68	0.14812
ago-68	0.14777
sep-68	0.14797
