date	ipi
01/1980	67.3
02/1980	75.5
03/1980	76.9
04/1980	74.4
05/1980	79.3
06/1980	75
07/1980	77
08/1980	72.8
09/1980	76.3
10/1980	80.5
11/1980	76.6
12/1980	69.3
01/1981	63.2
02/1981	70.7
03/1981	74.9
04/1981	71.3
05/1981	73.1
06/1981	70.2
07/1981	74.8
08/1981	72.9
09/1981	76.3
10/1981	75.8
11/1981	76.2
12/1981	63.1
01/1982	58.1
02/1982	68.3
03/1982	72.5
04/1982	69.4
05/1982	73.1
06/1982	69.7
07/1982	70.7
08/1982	74.1
09/1982	72.9
10/1982	73.8
11/1982	71.5
12/1982	63.3
01/1983	58.1
02/1983	68
03/1983	68.5
04/1983	66.3
05/1983	68.7
06/1983	66.5
07/1983	68.5
08/1983	71.3
09/1983	73.6
10/1983	75.2
11/1983	79.6
12/1983	70.4
01/1984	63.5
02/1984	73.1
03/1984	78.5
04/1984	69.1
05/1984	78.2
06/1984	77.2
07/1984	75.8
08/1984	80
09/1984	78.6
10/1984	84.4
11/1984	82.4
12/1984	74
01/1985	66.8
02/1985	74.3
03/1985	81.7
04/1985	76.4
05/1985	83.5
06/1985	74.6
07/1985	80.9
08/1985	80.6
09/1985	79.4
10/1985	82.1
11/1985	82.8
12/1985	76.6
01/1986	70.9
02/1986	81.7
03/1986	81
04/1986	86.9
05/1986	85.6
06/1986	78.9
07/1986	86.9
08/1986	85.9
09/1986	91.7
10/1986	90.8
11/1986	87.8
12/1986	81.2
01/1987	74.7
02/1987	82.7
03/1987	91
04/1987	85.3
05/1987	92.9
06/1987	91.1
07/1987	93.7
08/1987	93.2
09/1987	99.7
10/1987	93.2
11/1987	94.1
12/1987	85.6
01/1988	77.8
02/1988	91
03/1988	92.1
04/1988	91.1
05/1988	97.4
06/1988	94
07/1988	92.4
08/1988	97.4
09/1988	94.1
10/1988	92.3
11/1988	93.7
12/1988	85.6
01/1989	78.5
02/1989	87.6
03/1989	86.7
04/1989	94.5
05/1989	96.2
06/1989	96.6
07/1989	93.8
08/1989	99
09/1989	100.1
10/1989	101.7
11/1989	102
12/1989	89.8
01/1990	85.1
02/1990	95.6
03/1990	105
04/1990	97.4
05/1990	106
06/1990	100.5
07/1990	100.5
08/1990	103.7
09/1990	98.5
10/1990	106.5
11/1990	106.2
12/1990	95.1
01/1991	84.5
02/1991	93.1
03/1991	90.7
04/1991	103.3
05/1991	101.7
06/1991	98
07/1991	102.7
08/1991	102.8
09/1991	101.7
10/1991	109.3
11/1991	108.6
12/1991	99.4
01/1992	89.6
02/1992	100.7
03/1992	105.3
04/1992	97.6
05/1992	108.4
06/1992	107.5
07/1992	112.3
08/1992	106.3
09/1992	113.7
10/1992	116.4
11/1992	115.4
12/1992	106.7
01/1993	94
02/1993	104.8
03/1993	111.7
04/1993	102.7
05/1993	112.1
06/1993	110.6
07/1993	110.2
08/1993	109.5
09/1993	115.2
10/1993	117.9
11/1993	119.7
12/1993	106
01/1994	97.3
02/1994	105.8
03/1994	112
04/1994	110.4
05/1994	116.1
06/1994	112.7
07/1994	114.7
08/1994	121.9
09/1994	118.7
10/1994	119.1
11/1994	122.7
12/1994	110.1
01/1995	100.4
02/1995	110.3
03/1995	120.6
04/1995	105.6
05/1995	120
06/1995	112.8
07/1995	114
08/1995	118.3
09/1995	119.5
10/1995	126.5
11/1995	128.9
12/1995	114.2
01/1996	99
02/1996	114.9
03/1996	118.8
04/1996	111
05/1996	119.8
06/1996	111.1
07/1996	115.6
08/1996	113.2
09/1996	110.7
10/1996	116.3
11/1996	115.6
12/1996	107.7
01/1997	99.4
02/1997	107.4
03/1997	105
04/1997	116
05/1997	118.4
06/1997	112.3
07/1997	121.2
08/1997	112.5
09/1997	119.6
10/1997	127.1
11/1997	127.7
12/1997	120.1
01/1998	106.3
02/1998	117
03/1998	122.8
04/1998	116.9
05/1998	119.2
06/1998	113.6
07/1998	116
08/1998	109.8
09/1998	112.6
10/1998	117.4
11/1998	114.2
12/1998	100.5
01/1999	88.2
02/1999	94.5
03/1999	96.7
04/1999	92.5
05/1999	94.9
06/1999	96.9
07/1999	96.1
08/1999	100.1
09/1999	103.1
10/1999	104.8
11/1999	109
12/1999	105.3
01/2000	91.2
02/2000	99.7
03/2000	106.7
04/2000	97
05/2000	107
06/2000	108.7
07/2000	109.6
08/2000	116.4
09/2000	113.7
10/2000	116
11/2000	121.9
12/2000	108.6
01/2001	97.2
02/2001	103.7
03/2001	112.2
04/2001	104.5
05/2001	111.7
06/2001	106.2
07/2001	110.7
08/2001	111.5
09/2001	114.4
10/2001	116.3
11/2001	117
12/2001	107.2
01/2002	98.6
02/2002	104.2
03/2002	101.2
04/2002	113.2
